common_name,scientific_name,plant_family,plant_type,climate_zones,growing_difficulty,space_required,sunlight_needs,water_needs,days_to_germination,days_to_harvest,perennial_annual,planting_months_sh,planting_months_nh,height_cm,spread_cm,native_region,description
Cucumber,Cucumis sativus,Cucurbitaceae,Vegetable,"Cfa,Cfb,Csa,Aw",Easy,Medium,Full sun,High,7-10,50-70,Annual,Oct-Dec,May-Jul,30-180,50-100,South Asia,Vining fruiting vegetable
Beetroot,Beta vulgaris,Amaranthaceae,Vegetable,"Cfb,Cfa,Dfb,Csb",Easy,Small,Full sun,Medium,7-14,55-70,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30,15,Mediterranean,Dual-purpose root and greens
Broccoli,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Dfb,Cfa",Moderate,Medium,Full sun,Medium,7-10,70-100,Annual,Feb-Apr/Aug-Oct,Mar-May/Jul-Aug,60-90,45,Mediterranean,Cool-season brassica with edible florets
Cauliflower,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Dfb",Moderate,Medium,Full sun,Medium,7-10,75-100,Annual,Feb-Apr/Aug-Sep,Mar-May/Jul-Aug,60,50,Mediterranean,Cool-season brassica requiring consistent conditions
Cabbage,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Medium,Full sun,Medium,7-10,70-120,Annual,Feb-Apr/Aug-Oct,Mar-May/Jul-Aug,40-50,45-60,Europe,Dense-heading cool-season brassica
Brussels Sprouts,Brassica oleracea,Brassicaceae,Vegetable,"Cfb,Dfb",Moderate,Medium,Full sun,Medium,7-10,100-120,Annual,Jan-Mar/Aug-Sep,Mar-May/Jul-Aug,90-120,45,Mediterranean,Cold-tolerant brassica forming miniature heads
Radish,Raphanus sativus,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,4-6,25-35,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,15,10,Southeast Asia,Fast-growing cool-season root
Onion,Allium cepa,Amaryllidaceae,Vegetable,"Cfb,Cfa,Dfb,Csa",Moderate,Small,Full sun,Medium,7-10,100-175,Annual,Mar-Jun,Mar-Jun,40,15,Central Asia,Bulbing allium storing well
Garlic,Allium sativum,Amaryllidaceae,Vegetable,"Cfb,Cfa,Dfb,Csa",Moderate,Small,Full sun,Low,7-14,150-240,Annual,Mar-Jun,Sep-Nov,60,15,Central Asia,Winter-planted bulbing allium
Leek,Allium ampeloprasum,Amaryllidaceae,Vegetable,"Cfb,Dfb",Moderate,Small,Full sun,Medium,7-14,120-150,Annual,Mar-May,Mar-May,60,10,Mediterranean,Mild onion relative
Potato,Solanum tuberosum,Solanaceae,Vegetable,"Cfb,Dfb,Cfa",Easy,Medium,Full sun,Medium,10-14,90-120,Annual,Aug-Oct,Mar-May,60,50,South America,Tuber-forming staple crop
Sweet Potato,Ipomoea batatas,Convolvulaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Large,Full sun,Medium,7-14,100-120,Annual,Oct-Dec,May-Jun,30-40,150-300,Central America,Heat-loving tuber crop
Pumpkin,Cucurbita maxima,Cucurbitaceae,Vegetable,"Cfa,Cfb,Csa,Aw",Easy,Very large,Full sun,Medium,7-10,100-120,Annual,Oct-Nov,May-Jun,40-60,300-600,Americas,Large winter squash
Corn,Zea mays,Poaceae,Vegetable,"Cfa,Csa,Aw,Dfb",Moderate,Medium,Full sun,Medium,7-10,70-100,Annual,Sep-Dec,Apr-Jun,180-250,45,Central America,Wind-pollinated grain crop
Eggplant,Solanum melongena,Solanaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,10-14,70-90,Annual,Sep-Nov,Apr-Jun,60-100,50-70,South Asia,Heat-loving fruiting vegetable
Capsicum,Capsicum annuum,Solanaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,10-14,70-90,Annual,Sep-Nov,Apr-Jun,50-100,40-60,Central America,Sweet and hot peppers
Chilli,Capsicum annuum,Solanaceae,Vegetable,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,10-14,75-100,Annual,Sep-Nov,Apr-Jun,50-120,40-60,Central America,Hot pepper varieties
Parsley,Petroselinum crispum,Apiaceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Small,Partial shade,Medium,14-21,70-90,Biennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-40,25,Mediterranean,Culinary herb and garnish
Coriander,Coriandrum sativum,Apiaceae,Herb,"Cfb,Cfa,Csa",Easy,Small,Full sun,Medium,7-14,40-50,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-50,20,Mediterranean,Dual-purpose herb (leaves and seeds)
Dill,Anethum graveolens,Apiaceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Small,Full sun,Medium,7-14,40-60,Annual,Sep-Nov,Apr-Jun,60-90,30,Mediterranean,Aromatic herb with feathery foliage
Oregano,Origanum vulgare,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Low,7-14,90,Perennial,Sep-Nov,Apr-Jun,30-60,45,Mediterranean,Drought-tolerant perennial culinary herb
Thyme,Thymus vulgaris,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Small,Full sun,Low,14-21,90,Perennial,Sep-Nov,Apr-Jun,15-30,30,Mediterranean,Low-growing aromatic perennial herb
Rosemary,Salvia rosmarinus,Lamiaceae,Herb,"Cfa,Csa,Csb",Easy,Medium,Full sun,Low,14-28,90,Perennial,Sep-Nov,Apr-Jun,100-150,75-100,Mediterranean,Woody evergreen aromatic herb
Sage,Salvia officinalis,Lamiaceae,Herb,"Cfa,Cfb,Csa,Csb",Easy,Medium,Full sun,Low,14-21,90,Perennial,Sep-Nov,Apr-Jun,60-75,60,Mediterranean,Medicinal and culinary perennial herb
Mint,Mentha,Lamiaceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Medium,Partial shade,Medium,10-15,70-90,Perennial,Sep-May,Mar-Sep,30-100,60-120,Europe/Asia/Africa,Vigorous spreading aromatic perennial
Chives,Allium schoenoprasum,Amaryllidaceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Small,Full sun,Medium,7-14,60-80,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-40,20,Europe/Asia/North America,Mild onion-flavored perennial herb
Lemongrass,Cymbopogon citratus,Poaceae,Herb,"Cfa,Csa,Aw",Moderate,Medium,Full sun,Medium,14-21,90-120,Perennial,Sep-Nov,Apr-Jun,90-180,60-90,Southeast Asia,Tropical grass with citrus aroma
Lavender,Lavandula angustifolia,Lamiaceae,Herb,"Cfa,Csa,Csb,Cfb",Moderate,Medium,Full sun,Low,14-28,90-120,Perennial,Sep-Nov,Apr-Jun,60-90,60-90,Mediterranean,Aromatic medicinal and ornamental perennial
Chamomile,Matricaria chamomilla,Asteraceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Small,Full sun,Low,7-14,60-65,Annual,Mar-May/Aug-Oct,Mar-Jun,30-60,30,Europe,Medicinal herb with daisy-like flowers
Fennel,Foeniculum vulgare,Apiaceae,Herb,"Cfa,Csa,Csb",Easy,Medium,Full sun,Medium,7-14,65-90,Perennial,Mar-May/Aug-Oct,Apr-Jun,150-200,60,Mediterranean,Licorice-flavored herb and vegetable
Tarragon,Artemisia dracunculus,Asteraceae,Herb,"Cfb,Cfa,Dfb,Csa",Moderate,Medium,Full sun,Low,14-21,90,Perennial,Sep-Nov,Apr-Jun,60-90,45,Eurasia,Anise-flavored culinary perennial
Marjoram,Origanum majorana,Lamiaceae,Herb,"Cfa,Csa,Csb",Easy,Small,Full sun,Low,7-14,70-90,Perennial,Sep-Nov,Apr-Jun,30-60,30,Mediterranean,Sweet oregano relative
Bay Laurel,Laurus nobilis,Lauraceae,Herb,"Csa,Csb,Cfb",Moderate,Large,Full sun,Low,30-180,730-1095,Perennial,Sep-Nov,Apr-Jun,300-1200,200-600,Mediterranean,Aromatic evergreen tree for culinary use
Ginger,Zingiber officinale,Zingiberaceae,Herb,"Cfa,Aw,Am",Moderate,Medium,Partial shade,High,14-21,240-300,Perennial,Sep-Nov,Mar-May,60-100,45,Southeast Asia,Tropical rhizome spice
Turmeric,Curcuma longa,Zingiberaceae,Herb,"Cfa,Aw,Am",Moderate,Medium,Partial shade,High,21-30,240-300,Perennial,Sep-Nov,Mar-May,90-120,60,South Asia,Tropical rhizome spice and dye
Stevia,Stevia rebaudiana,Asteraceae,Herb,"Cfa,Csa,Aw",Moderate,Small,Full sun,Medium,7-14,90-120,Perennial,Sep-Nov,Apr-Jun,60-80,30,South America,Natural sweetener herb
Lemon Balm,Melissa officinalis,Lamiaceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Medium,Partial shade,Medium,7-14,70-90,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-90,45,Mediterranean,Lemon-scented medicinal herb
Catnip,Nepeta cataria,Lamiaceae,Herb,"Cfb,Cfa,Dfb,Csa",Easy,Medium,Full sun,Low,7-14,90,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-100,45,Mediterranean,Aromatic herb attractive to cats
Borage,Borago officinalis,Boraginaceae,Herb,"Cfb,Cfa,Csa",Easy,Medium,Full sun,Medium,7-14,70-80,Annual,Mar-May/Aug-Oct,Apr-Jun,60-100,50,Mediterranean,Edible flowers and cucumber-flavored leaves
Nasturtium,Tropaeolum majus,Tropaeolaceae,Herb,"Cfb,Cfa,Csa",Easy,Medium,Full sun,Low,7-14,60,Annual,Mar-May/Sep-Oct,Apr-Jun,30-180,30-120,South America,Edible flowers and peppery leaves
Rocket,Eruca vesicaria,Brassicaceae,Herb,"Cfb,Cfa,Csa,Dfb",Easy,Small,Partial shade,Medium,7-10,35-45,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,20-40,20,Mediterranean,Peppery salad green
Mustard Greens,Brassica juncea,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Full sun,Medium,7-10,40-50,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,30,Asia,Spicy leafy green
Chard,Beta vulgaris,Amaranthaceae,Vegetable,"Cfb,Cfa,Csa,Dfb",Easy,Medium,Full sun,Medium,7-14,50-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,45-60,30,Mediterranean,Colorful nutrient-dense leafy green
Asian Greens,Brassica rapa,Brassicaceae,Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Partial shade,Medium,7-10,45-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Oct,30-45,25,Asia,Fast-growing brassica greens
Strawberry,Fragaria × ananassa,Rosaceae,Fruit,"Cfb,Cfa,Dfb,Csa",Moderate,Small,Full sun,Medium,14-21,120-180,Perennial,Mar-May,Mar-May,20-30,30-45,Americas,Low-growing perennial berry
Blueberry,Vaccinium corymbosum,Ericaceae,Fruit,"Cfb,Dfb,Cfa",Moderate,Large,Full sun,Medium,30-90,730-1095,Perennial,May-Aug,May-Aug,120-200,100-150,North America,Acid-loving perennial berry shrub
Raspberry,Rubus idaeus,Rosaceae,Fruit,"Cfb,Dfb,Cfa",Moderate,Medium,Full sun,Medium,21-28,365-730,Perennial,May-Aug,May-Aug,120-180,100-150,Europe,Cane fruit producing summer and fall
Blackberry,Rubus fruticosus,Rosaceae,Fruit,"Cfb,Cfa,Csa",Easy,Large,Full sun,Medium,21-28,730-1095,Perennial,May-Aug,May-Aug,150-300,150-300,Europe/Americas,Vigorous thorny cane fruit
Grape,Vitis vinifera,Vitaceae,Fruit,"Cfa,Csa,Csb",Moderate,Large,Full sun,Medium,14-21,1095-1460,Perennial,May-Aug,May-Aug,200-600,150-400,Mediterranean,Climbing vine fruit for fresh eating and wine
Fig,Ficus carica,Moraceae,Fruit,"Csa,Csb,Cfa",Moderate,Large,Full sun,Medium,14-28,730-1095,Perennial,Dec-Feb,Jun-Aug,300-800,300-800,Mediterranean,Deciduous tree with sweet fruit
Apple,Malus domestica,Rosaceae,Fruit,"Cfb,Dfb,Cfa",Moderate,Very large,Full sun,Medium,30-60,1460-2190,Perennial,Dec-Feb,Jun-Aug,300-600,300-600,Central Asia,Deciduous tree requiring chill hours
Pear,Pyrus communis,Rosaceae,Fruit,"Cfb,Dfb,Cfa",Moderate,Very large,Full sun,Medium,30-60,1460-2190,Perennial,Dec-Feb,Jun-Aug,400-800,300-500,Europe/Asia,Deciduous tree requiring chill hours
Plum,Prunus domestica,Rosaceae,Fruit,"Cfb,Cfa,Csa",Moderate,Large,Full sun,Medium,30-60,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-600,300-500,Europe/Asia,Stone fruit tree
Cherry,Prunus avium,Rosaceae,Fruit,"Cfb,Dfb,Cfa",Moderate,Very large,Full sun,Medium,30-90,1460-2190,Perennial,Dec-Feb,Jun-Aug,400-800,300-600,Europe/Asia,Stone fruit tree requiring chill hours
Peach,Prunus persica,Rosaceae,Fruit,"Cfa,Csa",Moderate,Large,Full sun,Medium,30-60,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-500,300-500,China,Stone fruit tree for warm climates
Apricot,Prunus armeniaca,Rosaceae,Fruit,"Csa,Cfa,BSk",Moderate,Large,Full sun,Low,30-60,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-600,300-500,Central Asia,Early-flowering stone fruit
Nectarine,Prunus persica,Rosaceae,Fruit,"Cfa,Csa",Moderate,Large,Full sun,Medium,30-60,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-500,300-500,China,Smooth-skinned peach variant
Citrus (Lemon),Citrus × limon,Rutaceae,Fruit,"Csa,Cfa",Moderate,Large,Full sun,Medium,14-21,730-1095,Perennial,Aug-Oct,Feb-Apr,300-600,300-400,Asia,Evergreen citrus tree
Citrus (Orange),Citrus × sinensis,Rutaceae,Fruit,"Csa,Cfa",Moderate,Large,Full sun,Medium,14-21,1095-1460,Perennial,Aug-Oct,Feb-Apr,400-800,300-500,Asia,Evergreen sweet citrus tree
Citrus (Mandarin),Citrus reticulata,Rutaceae,Fruit,"Csa,Cfa",Moderate,Medium,Full sun,Medium,14-21,1095-1460,Perennial,Aug-Oct,Feb-Apr,300-500,250-400,Asia,Small evergreen citrus tree
Citrus (Lime),Citrus × aurantiifolia,Rutaceae,Fruit,"Csa,Cfa,Aw",Moderate,Medium,Full sun,Medium,14-21,730-1095,Perennial,Aug-Oct,Feb-Apr,200-400,200-300,Southeast Asia,Tropical evergreen citrus
Avocado,Persea americana,Lauraceae,Fruit,"Csa,Cfa,Aw",Moderate,Very large,Full sun,Medium,30-60,1460-2190,Perennial,Aug-Oct,Feb-Apr,600-1200,500-1000,Central America,Tropical/subtropical evergreen tree
Mango,Mangifera indica,Anacardiaceae,Fruit,"Aw,Am,Cfa",Moderate,Very large,Full sun,Medium,14-28,1825-2555,Perennial,Sep-Nov,Mar-May,1000-4000,800-1200,South Asia,Tropical evergreen tree
Banana,Musa acuminata,Musaceae,Fruit,"Aw,Am,Cfa",Moderate,Medium,Full sun,High,21-28,365-547,Perennial,Sep-Dec,Mar-Jun,300-600,200-300,Southeast Asia,Tropical herbaceous plant
Passionfruit,Passiflora edulis,Passifloraceae,Fruit,"Cfa,Csa,Aw",Moderate,Large,Full sun,Medium,14-21,365-547,Perennial,Sep-Nov,Mar-May,300-600,200-400,South America,Vigorous climbing vine
Kiwifruit,Actinidia deliciosa,Actinidiaceae,Fruit,"Cfa,Cfb,Csa",Moderate,Very large,Full sun,Medium,21-28,1095-1460,Perennial,Dec-Feb,Jun-Aug,400-800,300-600,China,Vigorous deciduous climbing vine
Pomegranate,Punica granatum,Lythraceae,Fruit,"Csa,BWh,BSh",Moderate,Large,Full sun,Low,14-21,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-600,300-500,Middle East,Drought-tolerant deciduous shrub
Olive,Olea europaea,Oleaceae,Fruit,"Csa,Csb",Moderate,Large,Full sun,Low,30-90,1825-2555,Perennial,Sep-Nov,Mar-May,400-1000,400-800,Mediterranean,Evergreen tree for oil and table olives
Persimmon,Diospyros kaki,Ebenaceae,Fruit,"Cfa,Csa,Cfb",Moderate,Large,Full sun,Medium,30-60,1460-2190,Perennial,Dec-Feb,Jun-Aug,400-800,400-600,Asia,Deciduous tree with sweet fall fruit
Mulberry,Morus,Moraceae,Fruit,"Cfa,Csa,Cfb",Easy,Large,Full sun,Medium,14-21,1095-1460,Perennial,Dec-Feb,Jun-Aug,600-1500,600-1000,Asia,Fast-growing deciduous tree
Guava,Psidium guajava,Myrtaceae,Fruit,"Aw,Cfa,Am",Moderate,Large,Full sun,Medium,14-21,730-1095,Perennial,Sep-Nov,Mar-May,300-1000,300-800,Tropical Americas,Tropical evergreen shrub/tree
Papaya,Carica papaya,Caricaceae,Fruit,"Aw,Am,Cfa",Moderate,Medium,Full sun,Medium,14-21,365-547,Perennial,Sep-Dec,Mar-Jun,200-500,100-200,Central America,Fast-growing tropical tree
Dragon Fruit,Hylocereus undatus,Cactaceae,Fruit,"Aw,Cfa,BSh",Moderate,Large,Full sun,Low,14-28,730-1095,Perennial,Sep-Nov,Mar-May,300-600,150-300,Central America,Climbing cactus with exotic fruit
Loquat,Eriobotrya japonica,Rosaceae,Fruit,"Cfa,Csa",Easy,Large,Full sun,Medium,30-60,1095-1460,Perennial,Dec-Feb,Jun-Aug,400-800,400-600,China,Evergreen tree with early spring fruit
Feijoa,Acca sellowiana,Myrtaceae,Fruit,"Cfa,Csb,Csa",Easy,Large,Full sun,Medium,14-28,1095-1460,Perennial,Sep-Nov,Mar-May,300-500,300-500,South America,Evergreen shrub with aromatic fruit
Macadamia,Macadamia integrifolia,Proteaceae,Nut,"Cfa,Csa",Moderate,Very large,Full sun,Medium,30-90,2555-3650,Perennial,Aug-Oct,Feb-Apr,700-1200,500-800,Australia,Native evergreen nut tree
Almond,Prunus dulcis,Rosaceae,Nut,"Csa,BSh",Moderate,Large,Full sun,Low,30-60,1460-1825,Perennial,Dec-Feb,Jun-Aug,400-800,400-600,Middle East,Deciduous nut tree for warm dry climates
Walnut,Juglans regia,Juglandaceae,Nut,"Cfa,Cfb,Csa",Moderate,Very large,Full sun,Medium,30-90,1825-3650,Perennial,Dec-Feb,Jun-Aug,1000-2500,800-1500,Persia,Large deciduous nut tree
Hazelnut,Corylus avellana,Betulaceae,Nut,"Cfb,Dfb,Cfa",Moderate,Large,Partial shade,Medium,30-90,1095-1460,Perennial,Dec-Feb,Jun-Aug,300-600,300-500,Europe,Deciduous nut shrub/tree
Chestnut,Castanea sativa,Fagaceae,Nut,"Cfa,Cfb",Moderate,Very large,Full sun,Medium,30-60,1825-2555,Perennial,Dec-Feb,Jun-Aug,1000-3000,1000-2000,Europe/Asia,Large deciduous nut tree
Pecan,Carya illinoinensis,Juglandaceae,Nut,"Cfa,Cwa",Moderate,Very large,Full sun,Medium,30-90,2555-3650,Perennial,Dec-Feb,Jun-Aug,2000-4000,1500-2500,North America,Large deciduous nut tree
Clover (White),Trifolium repens,Fabaceae,Cover Crop,"Cfb,Cfa,Dfb,Csa",Easy,Low,Full sun,Medium,7-10,60-90,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,10-30,30-60,Europe,Nitrogen-fixing groundcover
Clover (Red),Trifolium pratense,Fabaceae,Cover Crop,"Cfb,Cfa,Dfb",Easy,Low,Full sun,Medium,7-10,60-90,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,45,Europe,Deep-rooted nitrogen-fixing cover
Vetch,Vicia sativa,Fabaceae,Cover Crop,"Cfb,Cfa,Dfb,Csa",Easy,Low,Full sun,Medium,7-14,60-90,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-100,30,Mediterranean,Fast-growing nitrogen-fixing cover
Alfalfa,Medicago sativa,Fabaceae,Cover Crop,"Cfa,Csa,BSk,Dfb",Moderate,Medium,Full sun,Medium,7-10,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-90,45,Middle East,Deep-rooted nitrogen-fixer and fodder
Buckwheat,Fagopyrum esculentum,Polygonaceae,Cover Crop,"Cfb,Cfa,Dfb",Easy,Low,Full sun,Low,7-10,70-90,Annual,Sep-Dec,Apr-Jul,60-120,30,Central Asia,Fast-growing warm-season cover
Mustard (Cover),Sinapis alba,Brassicaceae,Cover Crop,"Cfb,Cfa,Dfb",Easy,Low,Full sun,Medium,4-7,45-60,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-90,30,Mediterranean,Biofumigant and quick cover crop
Ryegrass,Lolium multiflorum,Poaceae,Cover Crop,"Cfb,Cfa,Dfb,Csa",Easy,Low,Full sun,Medium,7-10,60-90,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,15,Mediterranean,Fast germinating grass cover
Oats,Avena sativa,Poaceae,Cover Crop,"Cfb,Dfb,Cfa",Easy,Low,Full sun,Medium,7-10,90-120,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,90-150,15,Mediterranean,Cool-season grain and cover
Phacelia,Phacelia tanacetifolia,Boraginaceae,Cover Crop,"Cfb,Cfa,Csa",Easy,Low,Full sun,Low,7-14,60-90,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-100,30,North America,Excellent bee forage and cover
Lupin,Lupinus,Fabaceae,Cover Crop,"Cfb,Csa,Csb",Easy,Medium,Full sun,Low,10-20,90-120,Annual,Mar-May/Aug-Sep,Mar-Jun,60-120,30,Mediterranean,Nitrogen-fixing with colorful flowers
Daikon Radish,Raphanus sativus,Brassicaceae,Cover Crop,"Cfb,Cfa,Dfb",Easy,Low,Full sun,Medium,4-7,60-70,Annual,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,30,Asia,Deep-rooted soil-breaking cover
Fenugreek,Trigonella foenum-graecum,Fabaceae,Cover Crop,"Cfa,Csa,BSh",Easy,Low,Full sun,Low,7-10,90-120,Annual,Mar-May/Aug-Oct,Mar-Jun,60-90,30,Mediterranean,Nitrogen-fixing herb and spice
Chicory,Cichorium intybus,Asteraceae,Cover Crop,"Cfb,Cfa,Csa,Dfb",Easy,Medium,Full sun,Low,7-14,90-120,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-150,30,Europe,Deep-rooted perennial for soil health
Comfrey,Symphytum officinale,Boraginaceae,Perennial Vegetable,"Cfb,Cfa,Dfb",Easy,Large,Partial shade,Medium,14-28,365-547,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-120,60-100,Europe,Dynamic accumulator and mulch crop
Jerusalem Artichoke,Helianthus tuberosus,Asteraceae,Perennial Vegetable,"Cfb,Cfa,Dfb,Csa",Easy,Large,Full sun,Low,14-21,180-240,Perennial,Feb-Apr,Feb-Apr,180-300,60-100,North America,Tuberous sunflower relative
Asparagus,Asparagus officinalis,Asparagaceae,Perennial Vegetable,"Cfb,Cfa,Dfb,Csa",Moderate,Medium,Full sun,Medium,21-28,730-1095,Perennial,Jun-Aug,Jun-Aug,100-150,60,Mediterranean,Long-lived perennial vegetable
Rhubarb,Rheum rhabarbarum,Polygonaceae,Perennial Vegetable,"Cfb,Dfb",Easy,Large,Full sun,Medium,14-21,365-730,Perennial,Jun-Aug,Jun-Aug,90-120,100-150,Siberia,Cold-hardy perennial with edible stems
Globe Artichoke,Cynara cardunculus,Asteraceae,Perennial Vegetable,"Cfa,Csa,Csb",Moderate,Large,Full sun,Medium,14-21,365-547,Perennial,Sep-Nov,Mar-May,120-180,100-150,Mediterranean,Architectural perennial with edible buds
Walking Onion,Allium × proliferum,Amaryllidaceae,Perennial Vegetable,"Cfb,Cfa,Dfb",Easy,Small,Full sun,Medium,14-21,365,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,60-90,30,North America,Self-propagating perennial onion
Welsh Onion,Allium fistulosum,Amaryllidaceae,Perennial Vegetable,"Cfb,Cfa,Dfb,Csa",Easy,Small,Full sun,Medium,7-14,60-90,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,45-60,15,Asia,Clumping perennial onion
Sea Kale,Crambe maritima,Brassicaceae,Perennial Vegetable,"Cfb,Csa",Moderate,Medium,Full sun,Low,14-28,730-1095,Perennial,Mar-May,Mar-May,60-75,60,Europe,Maritime perennial brassica
Good King Henry,Blitum bonus-henricus,Amaranthaceae,Perennial Vegetable,"Cfb,Dfb,Cfa",Easy,Medium,Partial shade,Medium,14-21,90-365,Perennial,Mar-May/Aug-Oct,Mar-Jun,60-80,45,Europe,Spinach-like perennial green
Sorrel,Rumex acetosa,Polygonaceae,Perennial Vegetable,"Cfb,Dfb,Cfa",Easy,Small,Partial shade,Medium,7-14,60-90,Perennial,Mar-May/Aug-Oct,Mar-Jun/Aug-Sep,30-60,30,Europe/Asia,Lemony perennial salad green
